Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/02/2018,AQS,170310001,1,12.9,ug/m3 LC,53,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/08/2018,AQS,170310001,1,14.7,ug/m3 LC,56,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/14/2018,AQS,170310001,1,8.9,ug/m3 LC,37,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/20/2018,AQS,170310001,1,11.7,ug/m3 LC,49,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/26/2018,AQS,170310001,1,6,ug/m3 LC,25,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/01/2018,AQS,170310001,1,5.2,ug/m3 LC,22,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/07/2018,AQS,170310001,1,17.8,ug/m3 LC,63,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/13/2018,AQS,170310001,1,21.9,ug/m3 LC,72,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/21/2018,AQS,170310001,1,6.2,ug/m3 LC,26,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/01/2018,AQS,170310001,1,8.5,ug/m3 LC,35,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/03/2018,AQS,170310001,1,5.6,ug/m3 LC,23,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/09/2018,AQS,170310001,1,8.7,ug/m3 LC,36,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/21/2018,AQS,170310001,1,2,ug/m3 LC,8,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/27/2018,AQS,170310001,1,9.1,ug/m3 LC,38,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/02/2018,AQS,170310001,1,9.4,ug/m3 LC,39,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/08/2018,AQS,170310001,1,7.5,ug/m3 LC,31,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/14/2018,AQS,170310001,1,2.1,ug/m3 LC,9,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/20/2018,AQS,170310001,1,7.2,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/26/2018,AQS,170310001,1,8.6,ug/m3 LC,36,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/04/2018,AQS,170310001,1,6.3,ug/m3 LC,26,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/14/2018,AQS,170310001,1,11.8,ug/m3 LC,49,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/15/2018,AQS,170310001,1,7.6,ug/m3 LC,32,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/20/2018,AQS,170310001,1,4.3,ug/m3 LC,18,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/31/2018,AQS,170310001,1,7.3,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/01/2018,AQS,170310001,1,5,ug/m3 LC,21,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/07/2018,AQS,170310001,1,7.7,ug/m3 LC,32,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/13/2018,AQS,170310001,1,7.8,ug/m3 LC,33,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/19/2018,AQS,170310001,1,10,ug/m3 LC,42,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
